threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.797940797940798,0.99375,0.9991941982272361,0.3361522198731501,0.3361522198731501,0.887298747763864,0.8162193698949824
0.05,2,event,0.8031088082901554,0.9941176470588236,0.9991941982272361,0.3572938689217759,0.3572938689217759,0.8904847396768403,0.8220536756126021
0.05,3,event,0.8162055335968379,0.9897959183673469,0.9983883964544722,0.41014799154334036,0.41014799154334036,0.8981515041681769,0.8360560093348891
0.05,4,event,0.8243512974051896,0.990521327014218,0.9983883964544722,0.4418604651162791,0.4418604651162791,0.903061224489796,0.8448074679113186
0.05,5,event,0.8364864864864865,0.9871794871794872,0.9975825946817083,0.4883720930232558,0.4883720930232558,0.9099595736861448,0.8570595099183197
0.05,7,event,0.8581363004172462,0.9746376811594203,0.9943593875906527,0.5687103594080338,0.5687103594080338,0.9212392683837253,0.8768961493582264
0.05,9,event,0.8823529411764706,0.965625,0.9911361804995971,0.653276955602537,0.653276955602537,0.9335863377609108,0.8978996499416569
0.075,1,event,0.8099281515349445,0.994535519125683,0.9991941982272361,0.38477801268498946,0.38477801268498946,0.8946608946608946,0.8296382730455076
0.075,2,event,0.8190224570673712,0.995,0.9991941982272361,0.42071881606765327,0.42071881606765327,0.9001814882032668,0.8395565927654609
0.075,3,event,0.8298727394507702,0.9909502262443439,0.9983883964544722,0.4630021141649049,0.4630021141649049,0.9063643013899049,0.8506417736289381
0.075,4,event,0.8393220338983051,0.9874476987447699,0.9975825946817083,0.4989429175475687,0.4989429175475687,0.9116347569955817,0.8599766627771295
0.075,5,event,0.8542817679558011,0.9849624060150376,0.9967767929089444,0.5539112050739958,0.5539112050739958,0.9200446262551135,0.8745624270711785
0.075,7,event,0.8849748382458663,0.9690402476780186,0.991941982272361,0.6617336152219874,0.6617336152219874,0.9354103343465047,0.9008168028004667
0.075,9,event,0.9074759437453738,0.9586776859504132,0.9879129734085415,0.7357293868921776,0.7357293868921776,0.9459876543209877,0.9183197199533255
0.1,1,event,0.8211920529801324,0.9950980392156863,0.9991941982272361,0.42917547568710357,0.42917547568710357,0.901490367139222,0.8418903150525088
0.1,2,event,0.8299866131191432,0.9954545454545455,0.9991941982272361,0.4630021141649049,0.4630021141649049,0.906764168190128,0.8512252042007001
0.1,3,event,0.8440054495912807,0.991869918699187,0.9983883964544722,0.5158562367864693,0.5158562367864693,0.9147286821705426,0.8652275379229871
