threshold,min_consecutive,precision,nfall_precision,recall,f1,accuracy
0.05,1,0.7769994162288383,1.0,1.0,0.8745072273324573,0.7890668139149641
0.05,3,0.7847877358490566,1.0,1.0,0.8794185662371986,0.7984538928768636
0.05,5,0.7913198573127229,1.0,1.0,0.8835048124792565,0.8061844284925456
0.1,1,0.7989195678271308,1.0,1.0,0.8882215548882215,0.8150193263390392
0.1,3,0.8071558520315343,1.0,1.0,0.8932885906040269,0.8244064053009387
0.1,5,0.8195812807881774,1.0,1.0,0.9008460236886633,0.8382109331860851
0.15,1,0.8150642988364972,1.0,1.0,0.898110661268556,0.8332413031474324
0.15,3,0.8292834890965732,1.0,1.0,0.9066757493188011,0.8487023743787963
0.15,5,0.8448823903369358,0.9915966386554622,0.9984973703981969,0.915289256198347,0.8641634456101601
0.2,1,0.8365807668133249,1.0,1.0,0.9110198494182067,0.8564329099944782
0.2,3,0.8487555839183153,0.9959016393442623,0.9992486851990984,0.9178743961352658,0.8685808945334069
0.2,5,0.8662752772341813,0.9892086330935251,0.9977460555972952,0.9273743016759776,0.8851463279955826
0.25,1,0.8535645472061657,0.9921259842519685,0.9984973703981969,0.920360110803324,0.8729983434566538
0.25,3,0.8657105606258149,0.9891696750902527,0.9977460555972952,0.9270506108202443,0.8845941468801767
0.25,5,0.8822355289421158,0.9837662337662337,0.9962434259954921,0.9357798165137614,0.8995030369961348
0.3,1,0.8613091380427739,0.9925373134328358,0.9984973703981969,0.9248434237995825,0.8807288790723358
0.3,3,0.8800530152418821,0.9900662251655629,0.9977460555972952,0.9352112676056339,0.898398674765323
0.3,5,0.8927125506072875,0.9756838905775076,0.9939894815927873,0.9406327763953075,0.9077857537272225
0.35,1,0.8772277227722772,0.9932432432432432,0.9984973703981969,0.9339423752635277,0.8961899503036996
0.35,3,0.8880697050938338,0.9811912225705329,0.9954921111945906,0.93871767623096,0.9044726670347875
0.35,5,0.9048596851471595,0.9742857142857143,0.9932381667918858,0.9469914040114613,0.9182771949199338
0.39999999999999997,1,0.886,0.9935691318327974,0.9984973703981969,0.9388908512892971,0.9044726670347875
0.39999999999999997,3,0.8976271186440677,0.9791666666666666,0.994740796393689,0.9436920883820384,0.9127553837658752
0.39999999999999997,5,0.914878892733564,0.9754098360655737,0.9932381667918858,0.952449567723343,0.9271120927664274
0.44999999999999996,1,0.8942760942760942,0.99079754601227,0.9977460555972952,0.9431818181818181,0.9116510215350635
0.44999999999999996,3,0.9049247606019152,0.9770773638968482,0.9939894815927873,0.9473684210526315,0.9188293760353395
0.44999999999999996,5,0.9237228831350595,0.9712041884816754,0.9917355371900827,0.9565217391304348,0.9337382661512976
0.49999999999999994,1,0.8990514905149052,0.9880597014925373,0.9969947407963937,0.9454934093338084,0.9155162893429045
0.49999999999999994,3,0.9129834254143646,0.9752066115702479,0.9932381667918858,0.9514213745951782,0.9254555494202098
0.49999999999999994,5,0.9306930693069307,0.9622166246851386,0.9887302779864763,0.9588342440801457,0.9376035339591386
0.5499999999999999,1,0.9068493150684932,0.98005698005698,0.994740796393689,0.948763883912576,0.921038100496963
0.5499999999999999,3,0.9203910614525139,0.9656992084432717,0.9902329075882795,0.9540354686934491,0.9298729983434566
0.5499999999999999,5,0.9358517462580185,0.9558823529411765,0.9864763335837716,0.9604974396488661,0.9403644395361679
0.6,1,0.9136740331491713,0.977961432506887,0.9939894815927873,0.9521410579345088,0.9265599116510216
0.6,3,0.9261603375527426,0.9640102827763496,0.9894815927873779,0.9567744278968399,0.9342904472667035
0.6,5,0.9411764705882353,0.9544364508393285,0.98572501878287,0.9629357798165137,0.9442297073440088
0.65,1,0.9218967921896792,0.9761273209549072,0.9932381667918858,0.9562386980108499,0.9331860850358917
0.65,3,0.9319148936170213,0.9576059850374065,0.9872276483846731,0.9587741700109449,0.9376035339591386
0.65,5,0.9465317919075145,0.9508196721311475,0.9842223891810669,0.9650092081031307,0.9475427940364439
0.7,1,0.9244226731980406,0.9738219895287958,0.9924868519909842,0.9572463768115942,0.9348426283821093
0.7,3,0.9357142857142857,0.948905109489051,0.9842223891810669,0.959355547418528,0.9387078961899503
0.7,5,0.9503287070854638,0.9321266968325792,0.9774605559729527,0.9637037037037036,0.9458862506902264
0.75,1,0.9326241134751773,0.9600997506234414,0.9879789631855748,0.9595038307187157,0.9387078961899503
0.75,3,0.9415162454873646,0.9366197183098591,0.9797145003756574,0.9602356406480118,0.9403644395361679
0.75,5,0.9551140544518028,0.9269911504424779,0.9752066115702479,0.9650557620817843,0.9480949751518498
0.7999999999999999,1,0.9402447804175667,0.9407582938388626,0.9812171299774606,0.9602941176470589,0.9403644395361679
