threshold,min_consecutive,precision,nfall_precision,recall,f1,accuracy
0.05,1,0.7882599580712788,0.9868421052631579,0.9955869373345102,0.8798751950078002,0.8299282164549973
0.05,3,0.7970297029702971,0.9848866498740554,0.9947043248014121,0.8849627012171182,0.8382109331860851
0.05,5,0.8098336948662328,0.969626168224299,0.9885260370697264,0.890302066772655,0.8475980121479846
0.1,1,0.8142235123367199,0.9745958429561201,0.9902912621359223,0.8936678614097969,0.8525676421866372
0.1,3,0.8297557364914878,0.9739130434782609,0.9894086496028244,0.9025764895330113,0.8663721700717836
0.1,5,0.8454545454545455,0.9653767820773931,0.9849955869373345,0.9099062372604974,0.8779679734953064
0.15,1,0.8351976137211037,0.9723404255319149,0.9885260370697264,0.9054163298302345,0.8707896189950304
0.15,3,0.8558282208588958,0.9664694280078896,0.9849955869373345,0.9158801805498563,0.8868028713418001
0.15,5,0.8704866562009419,0.9553072625698324,0.9788172992056487,0.9214790195263813,0.8956377691882937
0.2,1,0.8572524942440521,0.968503937007874,0.9858781994704324,0.9170771756978654,0.8884594146880177
0.2,3,0.8730407523510971,0.9644859813084112,0.9832303618711385,0.9248650892486509,0.9000552181115405
0.2,5,0.8832,0.948306595365419,0.9744042365401588,0.9265631556861099,0.9033683048039757
0.25,1,0.867704280155642,0.9657794676806084,0.9841129744042365,0.9222497932175352,0.8961899503036996
0.25,3,0.8817460317460317,0.9600725952813067,0.9805825242718447,0.9285415796071875,0.9055770292655991
0.25,5,0.8946938775510204,0.9368600682593856,0.9673433362753752,0.9296013570822731,0.9083379348426284
0.3,1,0.8789556962025317,0.9597806215722121,0.9805825242718447,0.9269920734251148,0.9033683048039757
0.3,3,0.8959349593495934,0.9466437177280551,0.9726390114739629,0.9327126534066865,0.9122032026504694
0.3,5,0.9068791946308725,0.9159935379644588,0.9541041482789056,0.9298924731182796,0.9099944781888459
0.35,1,0.8932902182700081,0.9512195121951219,0.9752868490732568,0.9324894514767932,0.9116510215350635
0.35,3,0.9135180520570949,0.9274193548387096,0.9602824360105914,0.9363166953528399,0.9182771949199338
0.35,5,0.9219427580225499,0.8936170212765957,0.9382171226831421,0.9300087489063867,0.9116510215350635
0.39999999999999997,1,0.908036454018227,0.9387417218543046,0.9673433362753752,0.9367521367521366,0.9182771949199338
0.39999999999999997,3,0.9193825042881647,0.9054263565891473,0.9461606354810238,0.932579382340148,0.9144119271120927
0.39999999999999997,5,0.9313725490196079,0.872278664731495,0.9223300970873787,0.9268292682926829,0.9088901159580343
0.44999999999999996,1,0.9215686274509803,0.9184952978056427,0.9541041482789056,0.9375542064180399,0.9204859193815571
0.44999999999999996,3,0.936663693131133,0.8797101449275362,0.9267431597528685,0.9316770186335404,0.9149641082274986
0.44999999999999996,5,0.9457943925233645,0.8367071524966262,0.8932038834951457,0.9187471629596006,0.9011595803423523
0.49999999999999994,1,0.9372197309417041,0.8735632183908046,0.9223300970873787,0.9297153024911032,0.9127553837658752
0.49999999999999994,3,0.9593188268684958,0.8421750663129973,0.8949691085613416,0.926027397260274,0.9105466593042518
0.49999999999999994,5,0.9655870445344129,0.7825030376670717,0.8420123565754634,0.8995756718528997,0.8823854224185533
0.5499999999999999,1,0.9489795918367347,0.849931787175989,0.9029126213592233,0.9253731343283583,0.9088901159580343
0.5499999999999999,3,0.9648093841642229,0.8147208121827412,0.8711385701676964,0.9155844155844156,0.8995030369961348
0.5499999999999999,5,0.9684873949579832,0.7543655413271245,0.8137687555163283,0.8844124700239807,0.8669243511871894
0.6,1,0.9584905660377359,0.844207723035952,0.8967343336275375,0.9265845873233014,0.9110988404196576
0.6,3,0.9700598802395209,0.8009888751545118,0.8578993821712269,0.9105386416861827,0.8945334069574821
0.6,5,0.9709051724137931,0.7372593431483578,0.795233892321271,0.8743328481319748,0.8569850911098841
0.65,1,0.9655502392344497,0.8381201044386423,0.8905560458958517,0.9265381083562901,0.9116510215350635
0.65,3,0.9713701431492843,0.78031212484994,0.8384819064430715,0.9000473709142587,0.883489784649365
0.65,5,0.9709821428571429,0.7125683060109289,0.7678729037952339,0.8575653031049779,0.8404196576477084
0.7,1,0.9696969696969697,0.8210659898477157,0.8755516328331863,0.9202226345083488,0.9050248481501932
0.7,3,0.9747899159663865,0.7613504074505238,0.8190644307149162,0.890167865707434,0.8735505245720596
0.7,5,0.9757505773672055,0.6952380952380952,0.7458075904677847,0.8454227113556778,0.8293760353395914
0.75,1,0.9720837487537388,0.8044554455445545,0.8605472197705207,0.9129213483146068,0.8972943125345113
0.75,3,0.9754010695187165,0.747716894977169,0.8049426301853486,0.8820116054158607,0.8652678078409718
