threshold,min_consecutive,precision,nfall_precision,recall,f1,accuracy
0.05,1,0.7925718290119131,0.9947916666666666,0.9982347749338041,0.88359375,0.8354500276090557
0.05,3,0.8002832861189801,0.9924812030075187,0.9973521624007061,0.8880157170923378,0.8426283821093319
0.05,5,0.8096264367816092,0.9856801909307876,0.9947043248014121,0.8926732673267327,0.8503589177250138
0.1,1,0.8126801152737753,0.9881796690307328,0.9955869373345102,0.8948829829432764,0.853672004417449
0.1,3,0.8230994152046783,0.9841986455981941,0.9938217122683142,0.9004398240703718,0.8625069022639426
0.1,5,0.8404494382022472,0.976890756302521,0.9902912621359223,0.9092382495948136,0.8763114301490889
0.15,1,0.8322246858832225,0.9847161572052402,0.9938217122683142,0.9058728881737731,0.8707896189950304
0.15,3,0.8449962377727614,0.979253112033195,0.9911738746690203,0.9122664500406173,0.8807288790723358
0.15,5,0.8603568657874321,0.9540229885057471,0.9788172992056487,0.9157720891824938,0.8873550524572059
0.2,1,0.8506444275966641,0.9776422764227642,0.9902912621359223,0.9151712887438825,0.8851463279955826
0.2,3,0.8671875,0.9566854990583804,0.9796999117387467,0.920016576875259,0.8934290447266704
0.2,5,0.8851132686084142,0.9321739130434783,0.9655781112091791,0.9235964542000845,0.9000552181115405
0.25,1,0.8691588785046729,0.967741935483871,0.9849955869373345,0.9234588332643772,0.8978464936499172
0.25,3,0.885140562248996,0.9452296819787986,0.9726390114739629,0.926829268292683,0.9039204859193816
0.25,5,0.8987551867219917,0.9174917491749175,0.9558693733451015,0.9264328485885372,0.9050248481501932
0.3,1,0.8837579617834395,0.9585585585585585,0.9796999117387467,0.9292591042277103,0.9066813914964108
0.3,3,0.9024793388429752,0.9317803660565723,0.9638128861429832,0.9321382842509602,0.9122032026504694
0.3,5,0.9134532990574121,0.8959627329192547,0.940864960282436,0.9269565217391305,0.9072335726118167
0.35,1,0.9018003273322422,0.9473684210526315,0.9726390114739629,0.9358811040339704,0.9166206515737162
0.35,3,0.9108658743633277,0.9052132701421801,0.9470432480141218,0.9286023366508005,0.9088901159580343
0.35,5,0.9209138840070299,0.8736998514115899,0.9249779346866726,0.9229414354909731,0.9033683048039757
0.39999999999999997,1,0.911986588432523,0.9271844660194175,0.9602824360105914,0.9355116079105761,0.9171728326891221
0.39999999999999997,3,0.9283216783216783,0.8935532233883059,0.9373345101500441,0.9328063241106719,0.9155162893429045
0.39999999999999997,5,0.9347234814143246,0.8559322033898306,0.909973521624007,0.9221824686940967,0.9039204859193816
0.44999999999999996,1,0.9251290877796902,0.9106317411402157,0.9488084730803178,0.9368191721132898,0.9199337382661513
0.44999999999999996,3,0.9372197309417041,0.8735632183908046,0.9223300970873787,0.9297153024911032,0.9127553837658752
0.44999999999999996,5,0.9428838951310862,0.8304172274562585,0.8887908208296558,0.9150386188096321,0.8967421314191054
0.49999999999999994,1,0.9324561403508772,0.8956780923994039,0.9382171226831421,0.9353277606687198,0.9188293760353395
0.49999999999999994,3,0.9421487603305785,0.8518005540166205,0.9055604589585172,0.9234923492349235,0.906129210381005
