threshold,precision,recall,f1,accuracy
0.05,0.4479017194068927,0.9916397280124847,0.617081418538108,0.5977227181635999
0.1,0.4719987168863108,0.9841154832237209,0.6380011201242977,0.6349608307524139
0.15,0.5128726886667256,0.9692899342325271,0.6708067346820697,0.6890326106758973
0.2,0.5578642819568648,0.9457139672277338,0.7017659952851648,0.7372563308435052
0.25,0.6036790520772382,0.9200200646527701,0.7290111734310825,0.7764255784295865
0.3,0.6432295844697578,0.8938245457585553,0.7480990810281289,0.8032428493350336
0.35,0.6752337464666232,0.8653996210010032,0.7585802574687935,0.8199489888868646
0.39999999999999997,0.706037362947626,0.8362501393378664,0.7656469267471232,0.8326653306613226
0.44999999999999996,0.7357515578296773,0.809441533831234,0.7708394150898331,0.842685370741483
0.49999999999999994,0.7677483116455279,0.7793445546761788,0.7735029733093625,0.8508107123337584
0.5499999999999999,0.800943903458988,0.74724111024412,0.7731610968541853,0.856676990344325
0.6,0.8256155121826764,0.7214357373759893,0.7700178465199287,0.8591364547276371
0.65,0.8508169710284224,0.6907256716085163,0.7624584717607974,0.859318637274549
0.7,0.8762482432132555,0.6602385464273771,0.7530593433139442,0.8584623793040627
0.75,0.8975956546050003,0.6262958421580649,0.7377958701290175,0.854490799781381
0.7999999999999999,0.914357032191427,0.5920744621558355,0.7187415426251691,0.8485334304973583
0.85,0.9316382602216634,0.5575186712741055,0.6975835977544544,0.8419930770632174
0.9,0.9508757384184889,0.5113699699030209,0.6650719437497735,0.8316451083986154
0.95,0.9683085616017688,0.43936016051722215,0.6044550090096998,0.8120422663508836
