threshold,min_consecutive,precision,nfall_precision,recall,f1,accuracy
0.05,1,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.05,3,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.05,5,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.1,1,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.1,3,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.1,5,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.15,1,0.7353591160220995,1.0,1.0,0.8475007959248647,0.7355052457205964
0.15,3,0.7353591160220995,1.0,1.0,0.8475007959248647,0.7355052457205964
0.15,5,0.7357656163626313,1.0,1.0,0.8477707006369426,0.7360574268360022
0.2,1,0.7415041782729805,1.0,1.0,0.8515674984005118,0.7437879624516841
0.2,3,0.7430167597765364,0.9523809523809523,0.9992486851990984,0.8522909323934637,0.7454445057979017
0.2,5,0.7471910112359551,0.967741935483871,0.9992486851990984,0.8550305368048858,0.7509663169519603
0.25,1,0.7591324200913242,0.9830508474576272,0.9992486851990984,0.8627959779435616,0.7664273881833241
0.25,3,0.764367816091954,0.9859154929577465,0.9992486851990984,0.8661673721914686,0.7730535615681944
0.25,5,0.771329077190946,0.9772727272727273,0.9984973703981969,0.8703339882121808,0.7813362782992822
0.3,1,0.7839433293978748,0.9743589743589743,0.9977460555972952,0.8780165289256198,0.7962451684152402
0.3,3,0.790946992257296,0.9772727272727273,0.9977460555972952,0.8823920265780731,0.804527885146328
0.3,5,0.8021778584392014,0.9683544303797469,0.9962434259954921,0.8887399463806971,0.8166758696852567
0.35,1,0.8096400244051251,0.9767441860465116,0.9969947407963937,0.8936026936026936,0.8255107675317505
0.35,3,0.8184064237183447,0.96875,0.9954921111945906,0.8983050847457628,0.8343456653782441
0.35,5,0.8339646464646465,0.9559471365638766,0.9924868519909842,0.9063464837049743,0.8492545554942021
0.39999999999999997,1,0.8494554772581678,0.98,0.9962434259954921,0.91701244813278,0.8674765323025952
0.39999999999999997,3,0.8638743455497382,0.9611307420494699,0.9917355371900827,0.9233997901364114,0.8790723357261182
0.39999999999999997,5,0.8798397863818425,0.9584664536741214,0.9902329075882795,0.9317780134323083,0.8934290447266704
0.44999999999999996,1,0.8942372881355932,0.9642857142857143,0.990984222389181,0.940128296507484,0.9072335726118167
0.44999999999999996,3,0.9080221300138313,0.9506849315068493,0.9864763335837716,0.9456247749369823,0.9166206515737162
0.44999999999999996,5,0.92524682651622,0.9516539440203562,0.98572501878287,0.9545289196071299,0.9309773605742684
0.49999999999999994,1,0.9198875614898102,0.9432989690721649,0.9834710743801653,0.9506172839506172,0.924903368304804
0.49999999999999994,3,0.9328571428571428,0.9391727493917275,0.9812171299774606,0.9564262175027463,0.9342904472667035
0.49999999999999994,5,0.9433139534883721,0.9241379310344827,0.9752066115702479,0.9589951976357592,0.9387078961899503
0.5499999999999999,1,0.9386724386724387,0.9294117647058824,0.9774605559729527,0.9576739050423261,0.9364991717283269
0.5499999999999999,3,0.9501466275659824,0.9217002237136466,0.9737039819684448,0.9617810760667903,0.9431253451131971
0.5499999999999999,5,0.9538346984363366,0.8931623931623932,0.9624342599549212,0.9581151832460734,0.9381557150745444
0.6,1,0.9560357675111774,0.8976545842217484,0.9639368895567243,0.9599700710811823,0.9409166206515737
0.6,3,0.9614803625377644,0.8809034907597536,0.9564237415477085,0.9589453860640302,0.939812258420762
0.6,5,0.9675925925925926,0.8504854368932039,0.9421487603305785,0.9547011800532927,0.9342904472667035
0.65,1,0.9660231660231661,0.8449612403100775,0.9398948159278738,0.9527798933739529,0.9315295416896742
0.65,3,0.9700078926598263,0.8125,0.9233658903080391,0.9461123941493457,0.9226946438431806
0.65,5,0.9789644012944984,0.7895652173913044,0.9090909090909091,0.9427347097779509,0.9188293760353395
0.7,1,0.9781021897810219,0.7837370242214533,0.9060856498873028,0.9407176287051482,0.9160684704583103
0.7,3,0.981023102310231,0.7629382303839732,0.8933132982719759,0.935116004718836,0.9088901159580343
0.7,5,0.9839932603201348,0.7387820512820513,0.8775356874530428,0.9277204130262112,0.8995030369961348
0.75,1,0.9856661045531198,0.7408,0.8782870022539444,0.9288835915772746,0.9011595803423523
0.75,3,0.9854202401372213,0.7178294573643411,0.8632607062359129,0.920304365238286,0.8901159580342353
0.75,5,0.9876760563380281,0.6903703703703704,0.8429752066115702,0.9096068098905552,0.8768636112644947
0.7999999999999999,1,0.9867491166077739,0.6848306332842415,0.8392186326070623,0.9070239545269996,0.8735505245720596
0.7999999999999999,3,0.9872842870118075,0.6563380281690141,0.816679188580015,0.8939144736842105,0.8575372722252899
0.7999999999999999,5,0.9925442684063374,0.6395663956639567,0.8001502629601803,0.8860232945091514,0.8487023743787963
0.85,1,0.9943661971830986,0.6353887399463807,0.7956423741547709,0.8839732888146912,0.8464936499171728
0.85,3,0.9961464354527938,0.6157826649417852,0.7768595041322314,0.872942169691853,0.8337934842628382
0.85,5,0.9960591133004926,0.5979899497487438,0.7595792637114951,0.8618925831202046,0.8210933186085035
0.9,1,0.9968553459119497,0.5565927654609102,0.7145003756574004,0.8323851203501093,0.7885146327995582
0.9,3,0.9967845659163987,0.5432801822323462,0.6987227648384673,0.8215547703180213,0.7769188293760353
0.9,5,0.9977628635346756,0.5212649945474372,0.6701728024042074,0.8017977528089888,0.7564881281060187
0.95,1,0.9986357435197817,0.44434137291280146,0.549962434259955,0.7093023255813954,0.6686913307564881
0.95,3,0.9985632183908046,0.4295964125560538,0.5221637866265966,0.6857424765663543,0.6482606294864716
0.95,5,0.9984848484848485,0.4161598609904431,0.49511645379413977,0.6619789050728278,0.6283821093318609
