threshold,min_consecutive,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.05,9,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.075,9,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,1,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,2,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,3,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,4,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,5,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,7,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.1,9,0.7349530646051905,0.0,1.0,0.0,0.0,0.8472310630171865,0.7349530646051905
0.125,1,0.7353591160220995,1.0,1.0,0.0020833333333333333,0.0020833333333333333,0.8475007959248647,0.7355052457205964
0.125,2,0.7353591160220995,1.0,1.0,0.0020833333333333333,0.0020833333333333333,0.8475007959248647,0.7355052457205964
0.125,3,0.7353591160220995,1.0,1.0,0.0020833333333333333,0.0020833333333333333,0.8475007959248647,0.7355052457205964
0.125,4,0.7353591160220995,1.0,1.0,0.0020833333333333333,0.0020833333333333333,0.8475007959248647,0.7355052457205964
0.125,5,0.7361725663716814,1.0,1.0,0.00625,0.00625,0.8480407773176171,0.7366096079514081
0.125,7,0.7369878183831672,1.0,1.0,0.010416666666666666,0.010416666666666666,0.8485814472425884,0.7377139701822197
0.125,9,0.7410913140311804,1.0,1.0,0.03125,0.03125,0.851295171090502,0.7432357813362783
0.15,1,0.7394444444444445,1.0,1.0,0.022916666666666665,0.022916666666666665,0.8502076014053018,0.7410270568746549
0.15,2,0.7406789092932665,1.0,1.0,0.029166666666666667,0.029166666666666667,0.8510230179028133,0.7426836002208724
0.15,3,0.7431602456728085,1.0,1.0,0.041666666666666664,0.041666666666666664,0.8526585522101218,0.7459966869133076
0.15,4,0.7464946719012899,1.0,1.0,0.058333333333333334,0.058333333333333334,0.854849068721901,0.7504141358365544
0.15,5,0.7502818489289741,1.0,1.0,0.07708333333333334,0.07708333333333334,0.8573268921095009,0.7553837658752071
0.15,7,0.7598627787307033,0.967741935483871,0.9984973703981969,0.125,0.125,0.862987012987013,0.76697956929873
0.15,9,0.7778429073856975,0.9619047619047619,0.9969947407963937,0.21041666666666667,0.21041666666666667,0.8738887059598287,0.7885146327995582
0.175,1,0.7485939257592801,1.0,1.0,0.06875,0.06875,0.856223866194918,0.7531750414135836
0.175,2,0.7536806342015855,1.0,1.0,0.09375,0.09375,0.8595414917662253,0.7598012147984539
0.175,3,0.7605714285714286,1.0,1.0,0.12708333333333333,0.12708333333333333,0.8640051931191172,0.7686361126449476
0.175,4,0.7674552798615119,0.9871794871794872,0.9992486851990984,0.16041666666666668,0.16041666666666668,0.8681462140992168,0.7769188293760353
0.175,5,0.7781030444964872,0.9805825242718447,0.9984973703981969,0.21041666666666667,0.21041666666666667,0.8746298124383021,0.7896189950303699
0.175,7,0.8039927404718693,0.9873417721518988,0.9984973703981969,0.325,0.325,0.890750670241287,0.8199889563776919
0.175,9,0.8218497827436375,0.965,0.994740796393689,0.40208333333333335,0.40208333333333335,0.9000679809653297,0.8376587520706792
0.2,1,0.7665706051873199,0.9868421052631579,0.9992486851990984,0.15625,0.15625,0.8675799086757991,0.7758144671452236
0.2,2,0.7737056428155905,0.9891304347826086,0.9992486851990984,0.18958333333333333,0.18958333333333333,0.8721311475409836,0.7846493649917173
0.2,3,0.7822248381400824,0.9821428571428571,0.9984973703981969,0.22916666666666666,0.22916666666666666,0.8772277227722772,0.7945886250690226
0.2,4,0.793783622235505,0.9782608695652174,0.9977460555972952,0.28125,0.28125,0.8841544607190411,0.8078409718387631
0.2,5,0.8091463414634147,0.9766081871345029,0.9969947407963937,0.34791666666666665,0.34791666666666665,0.8933019185459442,0.8249585864163446
