threshold,precision,recall,f1,accuracy
0.05,0.3750940871456051,0.9998885297068332,0.5455374790938118,0.4554563672800146
0.1,0.4203228379710009,0.9984951510422473,0.5916055742685423,0.5493896884678448
0.15,0.44577982795162696,0.9964329506186601,0.6159835994969594,0.5938968846784478
0.2,0.46668416907324756,0.9907479656671497,0.6344945745288406,0.626890143924212
0.25,0.5170672291375776,0.9700702262846951,0.6745731837296282,0.6940608489706687
0.3,0.5924315849486887,0.9266525470961988,0.7227752901795418,0.7676443796684278
0.35,0.67417943107221,0.8585999331178241,0.7552951559129241,0.8181453816724358
0.39999999999999997,0.7512780498304902,0.7781183814513433,0.7644626967830254,0.8432683548916013
0.44999999999999996,0.8126825468942689,0.6978597703711961,0.7509070736753726,0.8486609582801967
0.49999999999999994,0.8742683024617112,0.6076803031991974,0.7169960214382007,0.8431954818728365
0.5499999999999999,0.9186511716517431,0.5375097536506521,0.6781997187060478,0.8332665330661323
0.6,0.9463571745890715,0.47491918403745403,0.632450085355897,0.8195664055383495
0.65,0.9603164476202628,0.4194627131869357,0.5838861088482874,0.8045727819274914
0.7,0.9682471264367816,0.37559915282577194,0.5412416673359569,0.7918746584077245
0.75,0.9780630484237894,0.33546984728569834,0.49958499335989376,0.7803242849335034
0.7999999999999999,0.9848971115725883,0.2907702597257831,0.4489866173243255,0.7667152486791765
0.85,0.9875500222321032,0.24757552112362055,0.3959001782531194,0.7530333394060849
0.9,0.9916387959866221,0.19830565154386356,0.33051555968416163,0.7374020768810348
0.95,1.0,0.08533050941923977,0.15724336260463206,0.7010202222627072
