threshold,precision,nfall_precision,recall,f1,accuracy
0.05,0.47915130925290855,0.994748687171793,0.9971985058697972,0.6472842205528976,0.5843516416235108
0.1,0.4985796878655215,0.9921302285467875,0.9951307363927427,0.6643214961594123,0.6153728411439068
0.15,0.53659600770825,0.9799931600547196,0.9843916755602988,0.6945758324508766,0.6688946146585372
0.2,0.5797680927628949,0.9653252519557404,0.9671824973319103,0.7249637518124094,0.7193295747340493
0.25,0.6105893503360331,0.9487708763370238,0.9453708644610459,0.7419641922311799,0.7485139927038955
0.3,0.6464029112624802,0.9359977483816493,0.9241595517609391,0.7607203645747543,0.7776473889640042
0.35,0.6828922016022716,0.9217538635313447,0.8983457844183564,0.7759405427205163,0.8015765708308885
0.39999999999999997,0.7122069079128,0.9036592338479131,0.865128068303095,0.7812547059000693,0.814714661088293
0.44999999999999996,0.7517535834095761,0.8830468338887915,0.8221051227321238,0.7853569949342084,0.8281333707492539
0.49999999999999994,0.7924757281553398,0.8671153609389748,0.7840181430096052,0.7882242489270386,0.8388734406489962
0.5499999999999999,0.8252505896226415,0.8519371074089969,0.7468649946638207,0.7841036414565826,0.8427000688793082
0.6,0.8551202638564878,0.8370442319187089,0.7090448239060833,0.7752616416876345,0.8427766014439144
0.65,0.8854726455818871,0.8225725366274059,0.6704242262540021,0.7630869680750104,0.8407867547641521
0.7,0.9115417825961816,0.8091812621629135,0.6337379935965849,0.7476686995868581,0.8363988877267278
0.75,0.9273592715231788,0.7958354494667343,0.5977854855923159,0.7269630110317975,0.8282609250235975
0.7999999999999999,0.9440951953300404,0.7827077349707834,0.560965848452508,0.703765690376569,0.8193831475292737
0.85,0.9557748538011696,0.7693846600625989,0.5232790821771611,0.6762931034482759,0.8084134799357127
0.9,0.9640861931364725,0.7555632713613838,0.4834578441835646,0.6439804531319414,0.7955560090818643
0.95,0.9695021677380774,0.7383266687173178,0.4325640341515475,0.5982196393155297,0.777774943238348
