threshold,precision,nfall_precision,recall,f1,accuracy
0.05,0.5152864248200063,0.9830589586523737,0.9881937033084311,0.6773655213405574,0.6399653052373785
0.1,0.5561985988425221,0.9703131039814457,0.9743863393810032,0.7081636610432422,0.6928493073802903
0.15,0.587855771979256,0.9594833446634943,0.9602454642475987,0.7292621767432436,0.7273144723079671
0.2,0.6150669448791515,0.9479468971904909,0.9437700106723586,0.7447626065901674,0.752595729482895
0.25,0.6393412457447787,0.9373460855621099,0.9270277481323372,0.7567655867138579,0.7720860226026174
0.3,0.6613756613756614,0.9264974728465426,0.9088180362860192,0.7655999775236704,0.7871629378300466
0.35,0.6826193892191023,0.9151552100797643,0.888607257203842,0.7721108148835053,0.7993826373121763
0.39999999999999997,0.7081352783696662,0.9028043644716692,0.8645277481323372,0.7785553386394354,0.8119084670527309
0.44999999999999996,0.7392460411250296,0.8886195286195286,0.8345117395944504,0.7839954881564106,0.8241281665348605
0.49999999999999994,0.7945057175722309,0.866912366912367,0.7832177161152615,0.7888213361996573,0.8396132554401898
0.5499999999999999,0.8201929353739029,0.8550291201007398,0.7542689434364994,0.7858507939817228,0.8427766014439144
0.6,0.8458848216367452,0.8439921008658666,0.7259871931696905,0.781363293729136,0.8446133829944641
0.65,0.869706028898854,0.8335972309165225,0.6985725720384205,0.774802101057927,0.8446899155590704
0.7,0.8881248346998148,0.8234491671453188,0.6719583778014941,0.7650655021834061,0.8421643409270645
0.75,0.9059796916133885,0.8124846829814796,0.6427427961579509,0.7519900109255502,0.8378530064542463
0.7999999999999999,0.9240774349667271,0.8009972337010348,0.6113260405549626,0.7358490566037735,0.8321385749636471
0.85,0.9417104111986002,0.7876892363999335,0.5743729989327642,0.7135399403380842,0.8236179494374857
0.9,0.9572971005701808,0.7706098979196279,0.5263473852721452,0.6792339143533462,0.8098675986632312
0.95,0.9710709318497914,0.7497578805960824,0.46571504802561364,0.6295194301686051,0.79035179468864
