threshold,min_consecutive,precision,nfall_precision,recall,f1,accuracy
0.05,1,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.05,3,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.05,5,0.7349530646051905,0.0,1.0,0.8472310630171865,0.7349530646051905
0.1,1,0.7365799667957942,1.0,1.0,0.8483110261312938,0.737161789066814
0.1,3,0.7369878183831672,1.0,1.0,0.8485814472425884,0.7377139701822197
0.1,5,0.7390338700721821,1.0,1.0,0.8499361430395913,0.7404748757592491
0.15,1,0.7536806342015855,1.0,1.0,0.8595414917662253,0.7598012147984539
0.15,3,0.7579726651480638,1.0,1.0,0.862325882734046,0.7653230259525124
0.15,5,0.7662636729994243,1.0,1.0,0.8676662320730117,0.7758144671452236
0.2,1,0.7894424673784104,1.0,1.0,0.8823334438183625,0.8039757040309221
0.2,3,0.7965290245362059,1.0,1.0,0.8867421718854097,0.8122584207620099
0.2,5,0.8056900726392252,1.0,1.0,0.8923902111967819,0.8227498619547211
0.25,1,0.8226205191594561,1.0,1.0,0.9026788741946423,0.8415240198785201
0.25,3,0.8339598997493735,1.0,1.0,0.9094636146224804,0.853672004417449
0.25,5,0.8449809402795425,0.9957805907172996,0.9992486851990984,0.9156626506024096,0.864715626725566
0.3,1,0.8514724711907811,0.9959839357429718,0.9992486851990984,0.9194607673695128,0.8713418001104363
0.3,3,0.8646714378659727,0.9927007299270073,0.9984973703981969,0.9267782426778243,0.8840419657647709
0.3,5,0.8803191489361702,0.9771986970684039,0.994740796393689,0.9340388007054674,0.8967421314191054
0.35,1,0.8834886817576565,0.9870550161812298,0.9969947407963937,0.9368160960112955,0.9011595803423523
0.35,3,0.8930987821380244,0.9669669669669669,0.9917355371900827,0.9398362406550375,0.9066813914964108
0.35,5,0.9107883817427386,0.9616438356164384,0.9894815927873779,0.9485055815628377,0.921038100496963
0.39999999999999997,1,0.905971173644475,0.9689265536723164,0.9917355371900827,0.9469153515064562,0.9182771949199338
0.39999999999999997,3,0.9183531053733427,0.9603174603174603,0.9887302779864763,0.9522431259044862,0.9271120927664274
0.39999999999999997,5,0.9325284090909091,0.9553349875930521,0.9864763335837716,0.9587440671778021,0.9376035339591386
0.44999999999999996,1,0.9265017667844523,0.9494949494949495,0.9849737039819685,0.954843408594319,0.9315295416896742
0.44999999999999996,3,0.9408795962509012,0.9386792452830188,0.980465815176559,0.9602649006622517,0.9403644395361679
0.44999999999999996,5,0.9509157509157509,0.9260089686098655,0.9752066115702479,0.9629080118694361,0.9447818884594147
0.49999999999999994,1,0.9477882523567803,0.9444444444444444,0.9819684447783621,0.9645756457564577,0.9469906129210381
0.49999999999999994,3,0.9544117647058824,0.926829268292683,0.9752066115702479,0.9646971386101821,0.9475427940364439
0.49999999999999994,5,0.960536113179449,0.9123931623931624,0.9691960931630353,0.9648466716529543,0.9480949751518498
0.5499999999999999,1,0.9592592592592593,0.9219088937093276,0.9729526671675433,0.9660574412532636,0.9497515184980674
0.5499999999999999,3,0.9639097744360903,0.8981288981288982,0.9631855747558227,0.9635475385193537,0.9464384318056323
0.5499999999999999,5,0.9702517162471396,0.882,0.9556724267468069,0.9629068887206661,0.9458862506902264
0.6,1,0.9645550527903469,0.8927835051546392,0.9609316303531179,0.9627399322544222,0.9453340695748206
0.6,3,0.9707241910631741,0.8615984405458089,0.946656649135988,0.9585393685812096,0.939812258420762
0.6,5,0.9741784037558685,0.8386491557223265,0.9353869271224643,0.9543886546569565,0.9342904472667035
0.65,1,0.9720496894409938,0.8489483747609943,0.9406461307287753,0.956090110729286,0.9364991717283269
0.65,3,0.9778830963665087,0.8293577981651377,0.9301277235161532,0.9534077782056218,0.9331860850358917
0.65,5,0.9808153477218226,0.8142857142857143,0.9218632607062359,0.9504260263361736,0.9293208172280508
0.7,1,0.9785714285714285,0.822141560798548,0.9263711495116453,0.9517560787340794,0.9309773605742684
0.7,3,0.9806918744971842,0.8028169014084507,0.9158527422990232,0.9471639471639471,0.924903368304804
0.7,5,0.983726606997559,0.7903780068728522,0.9083395942900075,0.9445312500000002,0.9215902816123689
0.75,1,0.9846029173419774,0.7989601386481803,0.912847483095417,0.9473684210526315,0.9254555494202098
0.75,3,0.9844644317252658,0.7840136054421769,0.9045830202854996,0.9428347689898199,0.9193815571507454
0.75,5,0.987489574645538,0.7598039215686274,0.8895567242674681,0.9359683794466404,0.9105466593042518
0.7999999999999999,1,0.9866888519134775,0.7619047619047619,0.8910593538692713,0.9364390051322543,0.9110988404196576
0.7999999999999999,3,0.9882154882154882,0.7479935794542536,0.8820435762584523,0.9321159190154823,0.9055770292655991
0.7999999999999999,5,0.9905090595340811,0.7193251533742331,0.8625093914350113,0.9220883534136546,0.8928768636112645
0.85,1,0.9895833333333334,0.7101669195751138,0.8564988730277987,0.9182440596053162,0.8879072335726118
0.85,3,0.9911738746690203,0.6932153392330384,0.8437265214124718,0.911525974025974,0.879624516841524
0.85,5,0.9936247723132969,0.6633941093969145,0.8196844477836214,0.8983120625771923,0.8636112644947542
0.9,1,0.9945105215004575,0.6601671309192201,0.816679188580015,0.8968646864686469,0.8619547211485368
0.9,3,0.994328922495274,0.6294820717131474,0.7903831705484599,0.880703223105902,0.8426283821093319
0.9,5,0.9952153110047847,0.6201044386422977,0.7813673929376409,0.8754208754208754,0.8365543898398675
0.95,1,0.9959718026183283,0.5819070904645477,0.7430503380916604,0.851118760757315,0.8089453340695748
0.95,3,0.9958762886597938,0.5659928656361475,0.7257700976709242,0.8396349413298567,0.7962451684152402
0.95,5,0.9957805907172996,0.5515643105446119,0.7092411720510894,0.8284335234752084,0.7840971838763114
