threshold,min_consecutive,eval_level,precision,nfall_precision,recall,nfall_recall,min_pr,f1,accuracy
0.05,1,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,2,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,3,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,4,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,5,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,7,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.05,9,event,0.7240373395565928,0.0,1.0,0.0,0.0,0.839932318104907,0.7240373395565928
0.075,1,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,2,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,3,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,4,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,5,event,0.7248831775700935,1.0,1.0,0.004228329809725159,0.004228329809725159,0.8405011852353539,0.7252042007001167
0.075,7,event,0.7261556465769455,1.0,1.0,0.010570824524312896,0.010570824524312896,0.8413559322033898,0.7269544924154026
0.075,9,event,0.7282863849765259,1.0,1.0,0.021141649048625793,0.021141649048625793,0.8427843803056027,0.7298716452742123
0.1,1,event,0.736061684460261,1.0,1.0,0.05919661733615222,0.05919661733615222,0.8479672019132217,0.7403733955659276
0.1,2,event,0.7404534606205251,1.0,1.0,0.080338266384778,0.080338266384778,0.8508741858073363,0.7462077012835473
0.1,3,event,0.746241731809982,1.0,1.0,0.10782241014799154,0.10782241014799154,0.8546831955922866,0.7537922987164527
0.1,4,event,0.7512106537530266,1.0,1.0,0.13107822410147993,0.13107822410147993,0.8579329415831316,0.7602100350058343
0.1,5,event,0.7544072948328268,1.0,1.0,0.14587737843551796,0.14587737843551796,0.86001386001386,0.764294049008168
0.1,7,event,0.7636923076923077,1.0,1.0,0.18816067653276955,0.18816067653276955,0.8660153524075366,0.7759626604434072
0.1,9,event,0.7795969773299748,0.9761904761904762,0.9975825946817083,0.26004228329809725,0.26004228329809725,0.8752209261223046,0.794049008168028
0.125,1,event,0.7604166666666666,1.0,1.0,0.1733615221987315,0.1733615221987315,0.8639053254437871,0.7718786464410735
0.125,2,event,0.7660493827160494,1.0,1.0,0.19873150105708245,0.19873150105708245,0.8675288360713038,0.778879813302217
0.125,3,event,0.775625,1.0,1.0,0.24101479915433405,0.24101479915433405,0.8736360436466033,0.7905484247374562
0.125,4,event,0.7839545167403664,1.0,1.0,0.2769556025369979,0.2769556025369979,0.8788951841359773,0.8004667444574096
0.125,5,event,0.7934782608695652,1.0,1.0,0.3171247357293869,0.3171247357293869,0.8848484848484849,0.8115519253208868
0.125,7,event,0.8104575163398693,0.9945652173913043,0.9991941982272361,0.386892177589852,0.386892177589852,0.8949837603753158,0.8302217036172695
0.125,9,event,0.8251001335113485,0.9768518518518519,0.9959709911361805,0.44608879492600423,0.44608879492600423,0.9025191675794085,0.8442240373395566
0.15,1,event,0.7824716267339218,1.0,1.0,0.27061310782241016,0.27061310782241016,0.8779625044216484,0.7987164527421237
0.15,2,event,0.7909496494582536,1.0,1.0,0.30655391120507397,0.30655391120507397,0.8832740213523131,0.808634772462077
0.15,3,event,0.8001289490651193,1.0,1.0,0.34460887949260044,0.34460887949260044,0.8889684813753582,0.8191365227537923
0.15,4,event,0.8068920676202861,1.0,1.0,0.37209302325581395,0.37209302325581395,0.8931270241093918,0.8267211201866977
0.15,5,event,0.814595660749507,0.9896373056994818,0.9983883964544722,0.40380549682875266,0.40380549682875266,0.8971759594496742,0.8343057176196033
0.15,7,event,0.837052062204192,0.9872340425531915,0.9975825946817083,0.4904862579281184,0.4904862579281184,0.9102941176470589,0.8576429404900817
0.15,9,event,0.8616352201257862,0.9717314487632509,0.9935535858178888,0.5813953488372093,0.5813953488372093,0.9229041916167665,0.8798133022170361
0.175,1,event,0.8021978021978022,1.0,1.0,0.35306553911205074,0.35306553911205074,0.8902439024390244,0.8214702450408401
0.175,2,event,0.8095238095238095,1.0,1.0,0.38266384778012685,0.38266384778012685,0.8947368421052632,0.8296382730455076
0.175,3,event,0.8174027686222808,0.9949238578680203,0.9991941982272361,0.4143763213530655,0.4143763213530655,0.8992023205221173,0.8378063010501751
0.175,4,event,0.8269873079492318,0.9861751152073732,0.9975825946817083,0.452431289640592,0.452431289640592,0.9043097151205259,0.8471411901983664
0.175,5,event,0.8352464550979068,0.9828326180257511,0.9967767929089444,0.48414376321353064,0.48414376321353064,0.9088905216752389,0.8553092182030338
0.175,7,event,0.8559556786703602,0.9814814814814815,0.9959709911361805,0.5602536997885835,0.5602536997885835,0.9206703910614525,0.8757292882147024
0.175,9,event,0.8787446504992867,0.9711538461538461,0.9927477840451249,0.6405919661733616,0.6405919661733616,0.9322739311388575,0.8955659276546091
0.2,1,event,0.8162055335968379,0.9897959183673469,0.9983883964544722,0.41014799154334036,0.41014799154334036,0.8981515041681769,0.8360560093348891
0.2,2,event,0.8227091633466136,0.9903846153846154,0.9983883964544722,0.4355179704016913,0.4355179704016913,0.9020749908991627,0.8430571761960327
0.2,3,event,0.8336700336700337,0.9868995633187773,0.9975825946817083,0.47780126849894294,0.47780126849894294,0.9082905355832723,0.8541423570595099
0.2,4,event,0.8472602739726027,0.984251968503937,0.9967767929089444,0.5285412262156448,0.5285412262156448,0.9159570529433544,0.867561260210035
0.2,5,event,0.8566481994459834,0.9851851851851852,0.9967767929089444,0.5623678646934461,0.5623678646934461,0.9214152700186219,0.8768961493582264
0.2,7,event,0.8756218905472637,0.9706840390879479,0.9927477840451249,0.6300211416490487,0.6300211416490487,0.930513595166163,0.8926487747957993
0.2,9,event,0.8964259664478483,0.9650145772594753,0.9903303787268332,0.6997885835095138,0.6997885835095138,0.9410413476263401,0.9101516919486581
0.22499999999999998,1,event,0.8304289544235925,0.990990990990991,0.9983883964544722,0.46511627906976744,0.46511627906976744,0.9066959385290889,0.8512252042007001
0.22499999999999998,2,event,0.8394308943089431,0.9915966386554622,0.9983883964544722,0.4989429175475687,0.4989429175475687,0.9120353330879647,0.8605600933488915
0.22499999999999998,3,event,0.849691146190803,0.9883268482490273,0.9975825946817083,0.5369978858350951,0.5369978858350951,0.9177168272794662,0.8704784130688448
0.22499999999999998,4,event,0.8560553633217993,0.9851301115241635,0.9967767929089444,0.5602536997885835,0.5602536997885835,0.921072226358898,0.8763127187864644
0.22499999999999998,5,event,0.8673684210526316,0.9826989619377162,0.9959709911361805,0.6004228329809725,0.6004228329809725,0.927231807951988,0.8868144690781797
0.22499999999999998,7,event,0.8892908827785818,0.963855421686747,0.9903303787268332,0.6765327695560254,0.6765327695560254,0.9370949294700726,0.9037339556592765
0.22499999999999998,9,event,0.9167916041979011,0.9526315789473684,0.9854955680902499,0.7653276955602537,0.7653276955602537,0.9499029126213593,0.9247374562427071
0.25,1,event,0.8428571428571429,0.9918032786885246,0.9983883964544722,0.5116279069767442,0.5116279069767442,0.9140538546661747,0.8640606767794633
0.25,2,event,0.8515463917525773,0.9922779922779923,0.9983883964544722,0.5433403805496829,0.5433403805496829,0.9191394658753709,0.8728121353558926
0.25,3,event,0.8614206128133705,0.9856115107913669,0.9967767929089444,0.5792811839323467,0.5792811839323467,0.924168845722824,0.8815635939323221
0.25,4,event,0.8721751412429378,0.9798657718120806,0.9951651893634166,0.6173361522198731,0.6173361522198731,0.9296198720361311,0.8908984830805134
0.25,5,event,0.8850574712643678,0.9720496894409938,0.9927477840451249,0.6617336152219874,0.6617336152219874,0.935814660083555,0.9014002333722287
0.25,7,event,0.9095626389918459,0.9616438356164384,0.9887187751813054,0.7420718816067653,0.7420718816067653,0.9474903474903476,0.9206534422403734
0.25,9,event,0.930640243902439,0.9502487562189055,0.983883964544722,0.8076109936575053,0.8076109936575053,0.9565217391304349,0.9352392065344224
0.27499999999999997,1,event,0.8497942386831275,0.9921875,0.9983883964544722,0.5369978858350951,0.5369978858350951,0.9181178214153389,0.8710618436406068
0.27499999999999997,2,event,0.8628133704735376,0.9928057553956835,0.9983883964544722,0.5835095137420718,0.5835095137420718,0.92566305565932,0.8838973162193698
0.27499999999999997,3,event,0.8778409090909091,0.9836601307189542,0.9959709911361805,0.6363636363636364,0.6363636363636364,0.9331823329558323,0.896732788798133
0.27499999999999997,4,event,0.8922631959508315,0.9788519637462235,0.9943593875906527,0.6849894291754757,0.6849894291754757,0.9405487804878049,0.9089848308051341
0.27499999999999997,5,event,0.9019033674963397,0.9741379310344828,0.9927477840451249,0.7167019027484144,0.7167019027484144,0.9451476793248945,0.9165694282380397
0.27499999999999997,7,event,0.926626323751891,0.9591836734693877,0.9871071716357775,0.7949260042283298,0.7949260042283298,0.9559110417479515,0.9340723453908985
0.27499999999999997,9,event,0.9397217928902627,0.9404761904761905,0.9798549556809025,0.8350951374207188,0.8350951374207188,0.9593688362919132,0.9399066511085181
0.3,1,event,0.8670398880335899,0.9929824561403509,0.9983883964544722,0.5983086680761099,0.5983086680761099,0.9280898876404494,0.8879813302217037
0.3,2,event,0.8823109843081313,0.9871794871794872,0.9967767929089444,0.6511627906976745,0.6511627906976745,0.9360575104048429,0.9014002333722287
0.3,3,event,0.8936324167872648,0.9819277108433735,0.9951651893634166,0.6892177589852009,0.6892177589852009,0.9416698436904307,0.9107351225204201
0.3,4,event,0.9086892488954345,0.9803370786516854,0.9943593875906527,0.7378435517970402,0.7378435517970402,0.9495959984609466,0.9235705950991832
