threshold,precision,nfall_precision,recall,f1,accuracy
0.05,0.5047811486140361,0.9896213041717294,0.9885742949503957,0.6683119819140919,0.6792494079067225
0.1,0.55114244350727,0.9813981657726251,0.9760338869691227,0.7044814546624829,0.732337402076881
0.15,0.581375050355848,0.9751414229941837,0.9652212685319362,0.7256652000838048,0.7614501730734196
0.2,0.6085334659656103,0.9695983845636078,0.9546873258276669,0.7432848774137557,0.7844416104937147
0.25,0.6314138471879901,0.9632185543540125,0.9423698584327277,0.7561717352415027,0.8013481508471488
0.3,0.6555988814053331,0.9560353886308939,0.9277115148812841,0.7682721377304932,0.8170705046456549
0.35,0.682392444910808,0.9457910832126187,0.9061420131534946,0.7785093494864367,0.8314629258517034
0.39999999999999997,0.7173389113728343,0.9341317365269461,0.8792219373536952,0.7900733728996069,0.8472763709236655
0.44999999999999996,0.7527431973625941,0.9235108629617843,0.8526362724333965,0.7995818633215732,0.8602842047731827
0.49999999999999994,0.7807669989977317,0.9125873152812178,0.8249359045814291,0.8022439632510366,0.8670613955183093
0.5499999999999999,0.808020333239198,0.9022186365469947,0.7973470070226285,0.802648189188431,0.8718345782474038
0.6,0.8293700458906967,0.8943612080501693,0.7756102998550887,0.8015898159615219,0.8744944434323192
0.65,0.8470167961895212,0.886294755226794,0.753260506075131,0.7973921765295887,0.8748770267808343
0.7,0.8643093192333113,0.8776408450704225,0.7288485118715862,0.7908200290275762,0.8739661140462743
0.75,0.8848476337593034,0.8686282227907892,0.7023743172444543,0.7831220482227194,0.8728365822554199
0.7999999999999999,0.90294315884071,0.8583190890049835,0.671998662356482,0.7705384246684774,0.8691747130624886
0.85,0.9211481093283883,0.8466119048179443,0.6367740497157508,0.753007085187016,0.8634541810894516
0.9,0.9414530293621929,0.8319691863264324,0.5915171106900011,0.726544583262023,0.8544543632719985
0.95,0.9619537793924715,0.8130321691380805,0.5312674172333073,0.6844996588991419,0.8399161960284205
