threshold,precision,nfall_precision,recall,f1,accuracy
0.05,0.5040427619337596,0.9903526970954357,0.9937966915688368,0.6688514286996925,0.6236383581213807
0.1,0.5457743870824383,0.9790932196441748,0.9829909284951974,0.7018621707863028,0.680604097043292
0.15,0.5800630763703142,0.9673498233215547,0.9691835645677694,0.7257560999975026,0.719865302686293
0.2,0.6064373297002725,0.9523900451912672,0.9501067235859125,0.7403326403326403,0.7450955381514834
0.25,0.6340655350821458,0.9405184969414506,0.9318970117395945,0.754658888348728,0.7682593943723054
0.3,0.6615220862160723,0.9288181327576902,0.9120197438633938,0.7668321135133619,0.7878772417663716
0.35,0.6870425729306258,0.9160478860433399,0.8891408751334045,0.7751351979996511,0.8026990484451134
0.39999999999999997,0.714615004664947,0.9060444274954714,0.8685298826040555,0.7840905669466776,0.8170616597362178
0.44999999999999996,0.7429413498379016,0.8925969236304758,0.8407150480256137,0.788809963388303,0.8278272404908289
0.49999999999999994,0.775977366255144,0.8763479511143063,0.8049626467449307,0.7902042954426401,0.8365264420010714
0.5499999999999999,0.8179812072892938,0.8608007633891297,0.7664754535752402,0.7913911845730027,0.8454552412051328
0.6,0.8431059396151799,0.8500575815738963,0.7394610458911419,0.7878895561636047,0.8477257072884512
0.65,0.8634264884568651,0.8386460117673344,0.7109791889007471,0.7798222189706259,0.8464501645450139
0.7,0.8834809527904377,0.8288719622778382,0.6852988260405549,0.771871830509748,0.8450725783821016
0.75,0.9037487335359676,0.8172323759791122,0.6544823906083245,0.7591783047700105,0.8411949284420521
0.7999999999999999,0.923130677847659,0.8031320677129737,0.6167956243329776,0.7394937822383941,0.8337967805301155
0.85,0.9419832371829759,0.788817806210849,0.5772411953041622,0.7158277844410439,0.8247149161968418
0.9,0.9565943238731218,0.7737967740888586,0.53508537886873,0.6862862520318248,0.8129033903926121
0.95,0.9716516023007395,0.7524218578549707,0.473252401280683,0.6364941239795461,0.7932600321436771
